Time;Sec;Object Name;Status;Value
9:47:31;204;TIC Turbo Speed;;1.6
9:47:31;204;TIC Turbo Power;;8
9:47:31;204;TIC Gauge 3;5;9900000000
9:47:31;204;TIC Gauge 1;11;12.891
9:47:33;206;TIC Turbo Speed;;1.6
9:47:33;206;TIC Turbo Power;;6.8
9:47:33;206;TIC Gauge 1;11;12.816
9:47:33;206;TIC Gauge 2;5;9900000000
9:47:33;206;TIC Gauge 3;5;9900000000
9:47:35;208;TIC Turbo Speed;;1.6
9:47:35;208;TIC Turbo Power;;7.5
9:47:35;208;TIC Gauge 1;11;12.731
9:47:35;208;TIC Gauge 2;5;9900000000
9:47:35;208;TIC Gauge 3;5;9900000000
9:47:37;210;TIC Gauge 2;5;9900000000
9:47:37;210;TIC Turbo Speed;;1.6
9:47:37;210;TIC Turbo Power;;8.4
9:47:37;210;TIC Gauge 3;5;9900000000
9:47:37;210;TIC Gauge 1;11;12.731
9:47:39;212;TIC Gauge 2;5;9900000000
9:47:39;212;TIC Turbo Speed;;1.6
9:47:39;212;TIC Turbo Power;;8.4
9:47:39;212;TIC Gauge 3;5;9900000000
9:47:39;212;TIC Gauge 1;11;12.659
9:47:41;214;TIC Turbo Speed;;1.6
9:47:41;214;TIC Turbo Power;;7
9:47:41;214;TIC Gauge 1;11;12.575
9:47:41;214;TIC Gauge 2;5;9900000000
9:47:41;214;TIC Gauge 3;5;9900000000
9:47:43;216;TIC Turbo Speed;;1.6
9:47:43;216;TIC Turbo Power;;5.4
9:47:43;216;TIC Gauge 1;11;12.5
9:47:43;216;TIC Gauge 2;5;9900000000
9:47:44;217;TIC Gauge 3;5;9900000000
9:47:45;218;TIC Turbo Speed;;1.6
9:47:45;218;TIC Turbo Power;;6.5
9:47:45;218;TIC Gauge 1;11;12.419
9:47:46;219;TIC Gauge 2;5;9900000000
9:47:46;219;TIC Gauge 3;5;9900000000
9:47:47;220;TIC Gauge 1;11;12.344
9:47:47;220;TIC Turbo Speed;;1.6
9:47:47;220;TIC Turbo Power;;6.1
9:47:48;221;TIC Gauge 2;5;9900000000
9:47:48;221;TIC Gauge 3;5;9900000000
9:47:49;222;TIC Gauge 2;5;9900000000
9:47:49;222;TIC Turbo Speed;;1.6
9:47:50;223;TIC Turbo Power;;8
9:47:50;223;TIC Gauge 3;5;9900000000
9:47:50;223;TIC Gauge 1;11;12.281
9:47:52;225;TIC Turbo Speed;;1.6
9:47:52;225;TIC Turbo Power;;6.5
9:47:52;225;TIC Gauge 1;11;12.259
9:47:52;225;TIC Gauge 2;5;9900000000
9:47:52;225;TIC Gauge 3;5;9900000000
9:47:54;227;TIC Turbo Speed;;1.6
9:47:54;227;TIC Turbo Power;;7.5
