v	A
11.13414764	0.00067927
11.14606857	0.00117668
11.15798950	0.00144846
11.16991043	0.00129573
11.18183136	0.00055739
11.19375229	0.00057290
11.20567322	0.00128784
11.21759415	0.00117301
11.22951508	0.00127226
11.24143600	0.00128016
11.25335693	0.00112648
11.26527786	0.00193142
11.27719879	0.00128090
11.28911972	0.00187255
11.30104065	0.00395446
11.31296158	0.00644827
11.32488251	0.00917475
11.33680344	0.00872470
11.34872437	0.00668922
11.36064529	0.00497955
11.37256622	0.00204421
11.38448715	0.00086168
11.39640808	0.00075807
11.40832901	0.00045100
11.42024994	0.00059176
11.43217087	0.00045925
11.44409180	0.00033022
11.45601273	0.00048319
11.46793365	0.00086067
11.47985458	0.00095132
11.49177551	0.00084891
11.50369644	0.00128070
11.51561737	0.00175292
11.52753830	0.00145625
11.53945923	0.00082941
11.55138016	0.00048116
11.56330109	0.00099607
11.57522202	0.00200782
11.58714294	0.00183994
11.59906387	0.00098230
11.61098480	0.00120327
11.62290573	0.00203674
11.63482666	0.00729827
11.64674759	0.01057161
11.65866852	0.01231754
11.67058945	0.01293303
11.68251038	0.00909788
11.69443130	0.00452187
11.70635223	0.00227176
11.71827316	0.00066385
11.73019409	0.00121148
11.74211502	0.00117506
11.75403595	0.00078249
11.76595688	0.00060452
11.77787781	0.00050721
11.78979874	0.00043269
11.80171967	0.00022550
11.81364059	0.00051080
11.82556152	0.00085821
11.83748245	0.00076763
11.84940338	0.00038144
11.86132431	0.00056935
11.87324524	0.00028375
11.88516617	0.00086365
11.89708710	0.00081489
11.90900803	0.00083377
11.92092896	0.00177982
11.93284988	0.00163985
11.94477081	0.00208397
11.95669174	0.00750780
11.96861267	0.03087071
11.98053360	0.06588308
11.99245453	0.07884341
12.00437546	0.07734306
12.01629639	0.06824324
12.02821732	0.03606302
12.04013824	0.00687803
12.05205917	0.00105841
12.06398010	0.00057935
12.07590103	0.00075953
12.08782196	0.00084495
12.09974289	0.00076855
12.11166382	0.00067839
12.12358475	0.00034369
12.13550568	0.00073689
12.14742661	0.00091299
12.15934753	0.00097294
12.17126846	0.00084661
12.18318939	0.00076083
12.19511032	0.00138930
12.20703125	0.00148887
12.21895218	0.00072569
12.23087311	0.00069033
12.24279404	0.00128004
12.25471497	0.00167214
12.26663589	0.00213633
12.27855682	0.00115180
12.29047775	0.00244408
12.30239868	0.00482558
12.31431961	0.00793789
12.32624054	0.01074798
12.33816147	0.00963324
12.35008240	0.00712455
12.36200333	0.00479833
12.37392426	0.00129094
12.38584518	0.00146022
12.39776611	0.00165759
12.40968704	0.00105088
12.42160797	0.00104563
12.43352890	0.00121539
12.44544983	0.00110862
12.45737076	0.00061607
12.46929169	0.00012747
12.48121262	0.00063444
12.49313354	0.00062580
12.50505447	0.00074196
12.51697540	0.00091104
12.52889633	0.00061837
12.54081726	0.00123216
12.55273819	0.00140282
12.56465912	0.00164069
12.57658005	0.00189435
12.58850098	0.00121114
12.60042191	0.00154382
12.61234283	0.00204195
12.62426376	0.00250468
12.63618469	0.00830608
12.64810562	0.01178153
12.66002655	0.01401972
12.67194748	0.01449045
12.68386841	0.00980378
12.69578934	0.00504782
12.70771027	0.00300291
12.71963120	0.00155836
12.73155212	0.00115940
12.74347305	0.00098394
12.75539398	0.00053574
12.76731491	0.00037034
12.77923584	0.00066963
12.79115677	0.00070926
12.80307770	0.00060564
12.81499863	0.00016816
12.82691956	0.00018097
12.83884048	0.00021892
12.85076141	0.00094810
12.86268234	0.00111865
12.87460327	0.00059715
12.88652420	0.00051383
12.89844513	0.00035824
12.91036606	0.00116123
12.92228699	0.00231793
12.93420792	0.00224563
12.94612885	0.00220162
12.95804977	0.00760797
12.96997070	0.03298964
12.98189163	0.06637672
12.99381256	0.07633721
13.00573349	0.07475026
13.01765442	0.06362831
13.02957535	0.03025932
13.04149628	0.00391524
13.05341721	0.00167935
13.06533813	0.00095705
13.07725906	0.00047333
13.08917999	0.00052202
13.10110092	0.00081104
13.11302185	0.00108639
13.12494278	0.00136031
13.13686371	0.00157130
13.14878464	0.00149262
13.16070557	0.00123727
13.17262650	0.00088497
13.18454742	0.00028159
13.19646835	0.00068970
13.20838928	0.00103421
13.22031021	0.00102207
13.23223114	0.00121266
13.24415207	0.00068497
13.25607300	0.00095676
13.26799393	0.00195038
13.27991486	0.00148458
13.29183578	0.00336169
13.30375671	0.00573570
13.31567764	0.00919184
13.32759857	0.01204157
13.33951950	0.01058498
13.35144043	0.00806501
13.36336136	0.00558649
13.37528229	0.00196336
13.38720322	0.00123061
13.39912415	0.00084343
13.41104507	0.00009055
13.42296600	0.00032165
13.43488693	0.00033323
13.44680786	0.00032494
13.45872879	0.00046863
13.47064972	0.00059007
13.48257065	0.00074117
13.49449158	0.00134196
13.50641251	0.00199846
13.51833344	0.00208851
13.53025436	0.00145221
13.54217529	0.00078404
13.55409622	0.00049453
13.56601715	0.00066702
13.57793808	0.00136614
13.58985901	0.00071749
13.60177994	0.00141600
13.61370087	0.00159805
13.62562180	0.00336987
13.63754272	0.00904724
13.64946365	0.01214007
13.66138458	0.01432238
13.67330551	0.01426810
13.68522644	0.00916255
13.69714737	0.00476065
13.70906830	0.00269700
13.72098923	0.00066948
13.73291016	0.00074815
13.74483109	0.00038996
13.75675201	0.00039786
13.76867294	0.00085343
13.78059387	0.00116975
13.79251480	0.00136074
13.80443573	0.00119619
13.81635666	0.00098296
13.82827759	0.00117820
13.84019852	0.00103836
13.85211945	0.00052013
13.86404037	0.00020719
